jalan,image_path,image_name,filename,stem,digits,suffix,image_dir,file_size_bytes,latitude,longitude,captured_at,compass_angle,sequence_id,metadata_source_file,filename_norm,stem_norm,digits_norm,nearest_node,degree_pct,straightness_pct,closeness_pct,betweenness_pct,composite_score,node_class,syntax_integration_score,syntax_choice_score,syntax_connectivity_score,syntax_straightness_score,space_syntax_score,heading_diversity_term,vga_visibility_score,vga_openness_score,local_built_coverage,key_view_candidate_score
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\123227166654911.jpg,123227166654911.jpg,123227166654911.jpg,123227166654911,123227166654911,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,1591068,3.1311022126119,101.68286699452,1626436958000,83.47369980536,dY4TmEOPS0r8jUtwp17A3X,direct_match|,123227166654911 jpg,123227166654911,123227166654911,4769200859,0.8978102189781022,0.8573324485733245,0.6788321167883211,0.6768414067684141,0.7376686573766866,minor,0.6788321167883211,0.6768414067684141,0.8978102189781022,0.8573324485733245,0.7667551426675514,0.9274855533928889,0.9267044111041265,0.78125,0.1264253639656877,0.8562548402697887
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\938406172002857.jpg,938406172002857.jpg,938406172002857.jpg,938406172002857,938406172002857,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,1148759,3.2093444002207,101.71827455638,1773717759089,270.0,epmXOiJEhuDgovxKn3RBwH,direct_match|,938406172002857 jpg,938406172002857,938406172002857,665674059,0.23059057730590576,0.8301260783012607,0.06104844061048441,0.8772395487723955,0.5894713558947136,other,0.06104844061048441,0.8772395487723955,0.23059057730590576,0.8301260783012607,0.4912740544127405,1.0,1.0,1.0,0.0,0.8219459190444591
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\821292998770628.jpg,821292998770628.jpg,821292998770628.jpg,821292998770628,821292998770628,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,777086,3.2120620103516,101.71821500864,1579501691090,269.9997757527,t39v48z4mxniwuli9vueze,direct_match|,821292998770628 jpg,821292998770628,821292998770628,665674059,0.23059057730590576,0.8301260783012607,0.06104844061048441,0.8772395487723955,0.5894713558947136,other,0.06104844061048441,0.8772395487723955,0.23059057730590576,0.8301260783012607,0.4912740544127405,0.999997508363333,1.0,1.0,0.0,0.8219456698807924
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\1191262777999590.jpg,1191262777999590.jpg,1191262777999590.jpg,1191262777999590,1191262777999590,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,828707,3.2134748452663,101.71762770721,1579501926089,270.00287154783,74wg0pvno08ox8swmxdfgi,direct_match|,1191262777999590 jpg,1191262777999590,1191262777999590,665674059,0.23059057730590576,0.8301260783012607,0.06104844061048441,0.8772395487723955,0.5894713558947136,other,0.06104844061048441,0.8772395487723955,0.23059057730590576,0.8301260783012607,0.4912740544127405,0.9999680939129999,1.0,1.0,0.0,0.8219427284357591
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\1141194646400336.jpg,1141194646400336.jpg,1141194646400336.jpg,1141194646400336,1141194646400336,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,992020,3.2133912204745,101.7196357313,1579502061090,89.995785544385,eti236iws05yghohpwlboi,direct_match|,1141194646400336 jpg,1141194646400336,1141194646400336,665674059,0.23059057730590576,0.8301260783012607,0.06104844061048441,0.8772395487723955,0.5894713558947136,other,0.06104844061048441,0.8772395487723955,0.23059057730590576,0.8301260783012607,0.4912740544127405,0.9999531727153889,1.0,1.0,0.0,0.821941236315998
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\563409601291878.jpg,563409601291878.jpg,563409601291878.jpg,563409601291878,563409601291878,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,800460,3.2134000002248,101.71935170476,1579502055590,89.983008195091,eti236iws05yghohpwlboi,direct_match|,563409601291878 jpg,563409601291878,563409601291878,665674059,0.23059057730590576,0.8301260783012607,0.06104844061048441,0.8772395487723955,0.5894713558947136,other,0.06104844061048441,0.8772395487723955,0.23059057730590576,0.8301260783012607,0.4912740544127405,0.9998112021676778,1.0,1.0,0.0,0.8219270392612269
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\181425677184261.jpg,181425677184261.jpg,181425677184261.jpg,181425677184261,181425677184261,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,675722,3.2147487850571,101.7231102263,1579586272589,90.017260751217,yz27zhreqxch13gzn2drr9,direct_match|,181425677184261 jpg,181425677184261,181425677184261,665674059,0.23059057730590576,0.8301260783012607,0.06104844061048441,0.8772395487723955,0.5894713558947136,other,0.06104844061048441,0.8772395487723955,0.23059057730590576,0.8301260783012607,0.4912740544127405,0.9998082138753668,1.0,1.0,0.0,0.8219267404319959
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\792878751353567.jpg,792878751353567.jpg,792878751353567.jpg,792878751353567,792878751353567,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,943926,3.2127515560343,101.71763318982,1579501941089,269.96279549682,74wg0pvno08ox8swmxdfgi,direct_match|,792878751353567 jpg,792878751353567,792878751353567,665674059,0.23059057730590576,0.8301260783012607,0.06104844061048441,0.8772395487723955,0.5894713558947136,other,0.06104844061048441,0.8772395487723955,0.23059057730590576,0.8301260783012607,0.4912740544127405,0.9995866166313331,1.0,1.0,0.0,0.8219045807075924
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\166563052054218.jpg,166563052054218.jpg,166563052054218.jpg,166563052054218,166563052054218,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,909402,3.2150345848911,101.7234503593,1579586237090,269.9583951896,oce0k4u6tvx6dhk7ajihxt,direct_match|,166563052054218 jpg,166563052054218,166563052054218,665674059,0.23059057730590576,0.8301260783012607,0.06104844061048441,0.8772395487723955,0.5894713558947136,other,0.06104844061048441,0.8772395487723955,0.23059057730590576,0.8301260783012607,0.4912740544127405,0.9995377243288892,1.0,1.0,0.0,0.8218996914773481
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\318224813050835.jpg,318224813050835.jpg,318224813050835.jpg,318224813050835,318224813050835,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,630636,3.2135934653756,101.72271029115,1579586155589,270.05102079269,vm84g9xhsvphok6c3yw8s8,direct_match|,318224813050835 jpg,318224813050835,318224813050835,665674059,0.23059057730590576,0.8301260783012607,0.06104844061048441,0.8772395487723955,0.5894713558947136,other,0.06104844061048441,0.8772395487723955,0.23059057730590576,0.8301260783012607,0.4912740544127405,0.9994331023034445,1.0,1.0,0.0,0.8218892292748036
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\3182219845391856.jpg,3182219845391856.jpg,3182219845391856.jpg,3182219845391856,3182219845391856,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,681513,3.2103258169005,101.71866575681,1579502384590,89.929087812264,dn0wl1klow6nd4qk05zi00,direct_match|,3182219845391856 jpg,3182219845391856,3182219845391856,665674059,0.23059057730590576,0.8301260783012607,0.06104844061048441,0.8772395487723955,0.5894713558947136,other,0.06104844061048441,0.8772395487723955,0.23059057730590576,0.8301260783012607,0.4912740544127405,0.9992120868029334,1.0,1.0,0.0,0.8218671277247525
Jalan Ang Seng,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images\509782180340071.jpg,509782180340071.jpg,509782180340071.jpg,509782180340071,509782180340071,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_ang_seng_cluster\images,1489428,3.2145874351059,101.72416136791,1579586319090,90.088088953917,rehxn1p65g9i8yypbj0jyh,direct_match|,509782180340071 jpg,509782180340071,509782180340071,665674059,0.23059057730590576,0.8301260783012607,0.06104844061048441,0.8772395487723955,0.5894713558947136,other,0.06104844061048441,0.8772395487723955,0.23059057730590576,0.8301260783012607,0.4912740544127405,0.9990212338453668,1.0,1.0,0.0,0.8218480424289958
Jalan Berhala,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images\772051373450724.jpg,772051373450724.jpg,772051373450724.jpg,772051373450724,772051373450724,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images,1419732,3.1285142457982,101.68554966015,1579222452090,227.64274495105,tb122gip1x6f8ubr595dwa,direct_match|,772051373450724 jpg,772051373450724,772051373450724,478542020,0.5291970802919708,0.7903118779031187,0.7783676177836761,0.8759124087591241,0.8148639681486397,minor,0.7783676177836761,0.8759124087591241,0.5291970802919708,0.7903118779031187,0.7559057730590577,0.5293638327894443,0.8446827773288201,0.625,0.16800273265646842,0.7601106536475837
Jalan Berhala,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images\466258294434176.jpg,466258294434176.jpg,466258294434176.jpg,466258294434176,466258294434176,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images,955234,3.1304104383888,101.68774946075,1579222746089,235.47100197293,wxit0h9krcochta3cwmo60,direct_match|,466258294434176 jpg,466258294434176,466258294434176,10284230342,0.8978102189781022,0.44061048440610484,0.8646317186463172,0.935633709356337,0.7469586374695864,minor,0.8646317186463172,0.935633709356337,0.8978102189781022,0.44061048440610484,0.783012607830126,0.6163444663658888,0.7783788064536392,0.625,0.24927261639282666,0.7484593222812707
Jalan Berhala,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images\497062081721733.jpg,497062081721733.jpg,497062081721733.jpg,497062081721733,497062081721733,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images,794402,3.1985281159381,101.66572526667,1579656480590,88.621544226589,f60nwsknd713yqab6zfjbz,direct_match|,497062081721733 jpg,497062081721733,497062081721733,10802133310,0.10053085600530856,0.6111479761114798,0.10218978102189781,0.11280690112806901,0.27538155275381554,other,0.10218978102189781,0.11280690112806901,0.10053085600530856,0.6111479761114798,0.23175182481751824,0.9846838247398777,1.0,1.0,0.0,0.7295815211601192
Jalan Berhala,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images\952982905542690.jpg,952982905542690.jpg,952982905542690.jpg,952982905542690,952982905542690,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images,1315961,3.1997259211747,101.66610787454,1626189385000,98.006296333972,HzUX0RiIOf7B9yv2uLo85C,direct_match|,952982905542690 jpg,952982905542690,952982905542690,10802133310,0.10053085600530856,0.6111479761114798,0.10218978102189781,0.11280690112806901,0.27538155275381554,other,0.10218978102189781,0.11280690112806901,0.10053085600530856,0.6111479761114798,0.23175182481751824,0.9110411518447555,1.0,1.0,0.0,0.722217253870607
Jalan Berhala,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images\1686737604860611.jpg,1686737604860611.jpg,1686737604860611.jpg,1686737604860611,1686737604860611,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images,1188948,3.1286540924568,101.6857311472,1579393354589,228.61860127293,0vl5gm5i140q0tmgga2q1g,direct_match|,1686737604860611 jpg,1686737604860611,1686737604860611,13592889653,0.5291970802919708,0.6688785666887856,0.7770404777704047,0.6337093563370936,0.6932094669320946,other,0.7770404777704047,0.6337093563370936,0.5291970802919708,0.6688785666887856,0.6645985401459854,0.5402066808103332,0.8079552688657607,0.53125,0.22843173181983367,0.7033350281217206
Jalan Berhala,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images\125934549727709.jpg,125934549727709.jpg,125934549727709.jpg,125934549727709,125934549727709,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images,2339081,3.1290359567565,101.68833602063,1626525885000,82.993401298532,dobpVJ1YagXstGeD7C0hLc,direct_match|,125934549727709 jpg,125934549727709,125934549727709,13232406619,0.5291970802919708,0.15262110152621103,0.5945587259455872,0.66821499668215,0.4717982747179828,other,0.5945587259455872,0.66821499668215,0.5291970802919708,0.15262110152621103,0.4894160583941606,0.9221489033170223,0.7326356867797451,0.46875,0.26134265711242877,0.6400715698205438
Jalan Berhala,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images\1200012010412572.jpg,1200012010412572.jpg,1200012010412572.jpg,1200012010412572,1200012010412572,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_berhala\images,2395722,3.1293500665275,101.68856268537,1626525875000,106.62819244162,dobpVJ1YagXstGeD7C0hLc,direct_match|,1200012010412572 jpg,1200012010412572,1200012010412572,478676717,0.5291970802919708,0.19973457199734573,0.6317186463171864,0.7259455872594559,0.5191329351913293,other,0.6317186463171864,0.7259455872594559,0.5291970802919708,0.19973457199734573,0.5267750497677505,0.8152423062042222,0.639097109702053,0.4375,0.24289310264232422,0.5972391974050587
Jalan Chan Ah Tong,F:\brickfields_named_streets_mapillary_strict\jalan_chan_ah_tong\images\1734268330688432.jpg,1734268330688432.jpg,1734268330688432.jpg,1734268330688432,1734268330688432,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_chan_ah_tong\images,627068,3.1298622,101.6844072,1737944978414,71.0,9Zx3AL8mjzW1TqpJXHioGw,direct_match|,1734268330688432 jpg,1734268330688432,1734268330688432,4608983681,0.8978102189781022,0.9615129396151294,0.9163901791639018,0.980092899800929,0.9526653395266532,major,0.9163901791639018,0.980092899800929,0.8978102189781022,0.9615129396151294,0.9398805573988056,0.7888888888888889,0.9175283264448616,0.78125,0.13037688050323554,0.8988598308786585
Jalan Chan Ah Tong,F:\brickfields_named_streets_mapillary_strict\jalan_chan_ah_tong\images\216354356665885.jpg,216354356665885.jpg,216354356665885.jpg,216354356665885,216354356665885,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_chan_ah_tong\images,1166713,3.1284119188686,101.68543944606,1579222454090,228.93794157279,tb122gip1x6f8ubr595dwa,direct_match|,216354356665885 jpg,216354356665885,216354356665885,13592889621,0.8978102189781022,0.7863304578633046,0.7597876575978766,0.8905109489051095,0.8122096881220969,minor,0.7597876575978766,0.8905109489051095,0.8978102189781022,0.7863304578633046,0.8267086927670869,0.5437549063643334,0.8013594219297684,0.65625,0.1589887503453502,0.7699602729733095
Jalan Chan Ah Tong,F:\brickfields_named_streets_mapillary_strict\jalan_chan_ah_tong\images\180550900602952.jpg,180550900602952.jpg,180550900602952.jpg,180550900602952,180550900602952,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_chan_ah_tong\images,1397069,3.1285663172636,101.68560399122,1579222451090,227.6508296768,tb122gip1x6f8ubr595dwa,direct_match|,180550900602952 jpg,180550900602952,180550900602952,4608979770,0.5291970802919708,0.7504976775049768,0.7836761778367618,0.8779031187790312,0.8040256580402566,minor,0.7836761778367618,0.8779031187790312,0.5291970802919708,0.7504976775049768,0.7480424684804247,0.5294536630755554,0.8395329620425871,0.5625,0.1924485444271684,0.7488000631948684
Jalan Chan Ah Tong,F:\brickfields_named_streets_mapillary_strict\jalan_chan_ah_tong\images\1368556340178862.jpg,1368556340178862.jpg,1368556340178862.jpg,1368556340178862,1368556340178862,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_chan_ah_tong\images,1197077,3.2002367662446,101.66416801426,1579656001089,269.44345514731,izu2q4oitgg42rvjhfr5uu,direct_match|,1368556340178862 jpg,1368556340178862,1368556340178862,10802133310,0.10053085600530856,0.6111479761114798,0.10218978102189781,0.11280690112806901,0.27538155275381554,other,0.10218978102189781,0.11280690112806901,0.10053085600530856,0.6111479761114798,0.23175182481751824,0.9938161683034442,1.0,1.0,0.0,0.7304947555164758
Jalan Rozario,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images\1198861130587642.jpg,1198861130587642.jpg,1198861130587642.jpg,1198861130587642,1198861130587642,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images,626522,3.1304561078313,101.68512532473,1579222536589,136.06999561437,jytuu2gyoyjm56xojici92,direct_match|,1198861130587642 jpg,1198861130587642,1198861130587642,12063680243,0.8978102189781022,0.8818845388188454,0.9807564698075647,0.9422694094226941,0.9349701393497014,major,0.9807564698075647,0.9422694094226941,0.8978102189781022,0.8818845388188454,0.9298274717982747,0.4881111598403335,0.8752403952693051,0.75,0.21132267974822755,0.8431089089846168
Jalan Rozario,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images\467726724333120.jpg,467726724333120.jpg,467726724333120.jpg,467726724333120,467726724333120,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images,995181,3.1306749315563,101.68534113649,1579222542089,47.123251953711,t1xn9w9sygjq6bk2umyyoz,direct_match|,467726724333120 jpg,467726724333120,467726724333120,12063680245,0.8978102189781022,0.8334439283344393,0.9900464499004645,0.9289980092899801,0.9174961291749613,major,0.9900464499004645,0.9289980092899801,0.8978102189781022,0.8334439283344393,0.9171864631718647,0.5235916883745666,0.8433057046013611,0.65625,0.1993371162391932,0.8184869980182218
Jalan Rozario,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images\195068739131932.jpg,195068739131932.jpg,195068739131932.jpg,195068739131932,195068739131932,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images,660016,3.1303549325016,101.68491168343,1579567238590,49.581126962993,x5su9l4pm4wjji2afgfw0b,direct_match|,195068739131932 jpg,195068739131932,195068739131932,4608979736,0.5291970802919708,0.9057730590577306,0.9648307896483079,0.9860650298606503,0.9522229595222296,major,0.9648307896483079,0.9860650298606503,0.5291970802919708,0.9057730590577306,0.8682481751824818,0.5509014106999222,0.843363320546376,0.625,0.24359284727257915,0.8009904966297301
Jalan Rozario,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images\618431113906185.jpg,618431113906185.jpg,618431113906185.jpg,618431113906185,618431113906185,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images,741330,3.1303285934554,101.68532897065,1737945207249,321.67244803506,9Zx3AL8mjzW1TqpJXHioGw,direct_match|,618431113906185 jpg,618431113906185,618431113906185,13592875687,0.5291970802919708,0.7723954877239548,0.9575315195753152,0.807564698075647,0.8458305684583057,major,0.9575315195753152,0.807564698075647,0.5291970802919708,0.7723954877239548,0.7880889183808892,0.4258616884993336,0.8362671639262081,0.71875,0.2000523842133421,0.7666125140500383
Jalan Rozario,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images\597515473040218.jpg,597515473040218.jpg,597515473040218.jpg,597515473040218,597515473040218,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images,510323,3.1293113953129,101.68635837683,1737947891248,232.63730705537,Mz6SRBI4XvLWoYhpj05Vun,direct_match|,597515473040218 jpg,597515473040218,597515473040218,1515044058,0.5291970802919708,0.7412076974120769,0.8706038487060385,0.9887193098871931,0.8668436186684362,major,0.8706038487060385,0.9887193098871931,0.5291970802919708,0.7412076974120769,0.7995023224950233,0.5848589672818889,0.7828996285925804,0.625,0.17429857177357896,0.7531165424681083
Jalan Rozario,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images\1355491902118618.jpg,1355491902118618.jpg,1355491902118618.jpg,1355491902118618,1355491902118618,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images,875999,3.12983264885,101.68586324295,1737945194373,258.5299264225,9Zx3AL8mjzW1TqpJXHioGw,direct_match|,1355491902118618 jpg,1355491902118618,1355491902118618,1804861362,0.8978102189781022,0.5766423357664233,0.9044459190444591,0.7146648971466489,0.7319177173191771,minor,0.9044459190444591,0.7146648971466489,0.8978102189781022,0.5766423357664233,0.7737226277372262,0.8725547380277779,0.699411935873504,0.4375,0.28959005083872913,0.7165437646538837
Jalan Rozario,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images\140730718038253.jpg,140730718038253.jpg,140730718038253.jpg,140730718038253,140730718038253,.jpg,F:\brickfields_named_streets_mapillary_strict\jalan_rozario\images,1030181,3.1291211440279,101.68623336113,1579393344089,228.9085721589,0vl5gm5i140q0tmgga2q1g,direct_match|,140730718038253 jpg,140730718038253,140730718038253,5735922059,0.5291970802919708,0.7106834771068348,0.8387524883875249,0.9104180491041804,0.8199513381995134,minor,0.8387524883875249,0.9104180491041804,0.5291970802919708,0.7106834771068348,0.7627405441274054,0.5434285795433333,0.6942304580796392,0.375,0.2636103176572794,0.6712057545347629
