jalan_original,jalan_clean,image_name,latitude,longitude,dist_to_functional_centre_m,green_view_index,sky_visibility_index,street_enclosure_index,openness_index,visual_diversity_index,walkability_visual_index,view_quality_score,final_top_view_score
Jalan Berhala,Jalan Berhala,1686737604860611.jpg,3.1286540924568,101.6857311472,202.36478326997408,0.4144315441743826,0.1592892795138888,0.4013794246720679,0.2836187427662037,0.6309684809487813,0.3825385802469135,0.254580751019632,0.7810324831966629
Jalan Berhala,Jalan Berhala,772051373450724.jpg,3.1285142457982,101.68554966015,197.61422490502926,0.4201422646604938,0.0810157455632716,0.3623854648919753,0.2070584249614197,0.54216390910644,0.3633041389371142,0.2098775411306265,0.7497190740508366
Lorong Chan Ah Tong,Jalan Chan Ah Tong,216354356665885.jpg,3.1284119188686,101.68543944606,197.76354227520804,0.3321384307484568,0.0757637683256172,0.3939108916859568,0.1754052975501543,0.6950613082233562,0.3298396387924382,0.1980300903307256,0.691297433699232
Jalan Chan Ah Tong,Jalan Chan Ah Tong,180550900602952.jpg,3.1285663172636,101.68560399122,197.93587918934628,0.4069475790895062,0.0542280333719135,0.4369261188271605,0.1763123070987654,0.5565831482843867,0.3518759343653549,0.1975320632920407,0.6740320694784141
Lorong Chan Ah Tong,Jalan Chan Ah Tong,1734268330688432.jpg,3.1298622,101.6844072,14.526547275141981,0.1778781666666666,0.11621825,0.3543805416666666,0.1695817,0.7321470634120086,0.2589032708333333,0.1620935768451346,0.6353202425226626
Jalan Rozario,Jalan Rozario,140730718038253.jpg,3.1291211440279,101.68623336113,227.09898117059316,0.2273719618055555,0.1985855516975308,0.4221996166087963,0.2667971402391975,0.6796920606715332,0.3078827281057099,0.2063960260181682,0.6952800389668413
Jalan Rozario,Jalan Rozario,197285005689564.jpg,3.1294688738458,101.68617981967,211.84058275936735,0.1179234784915123,0.2718408203125,0.1914637285397376,0.3072178638599537,0.7282418053159566,0.2801281467013889,0.2033172479627098,0.6683405964191712
Jalan Rozario,Jalan Rozario,195068739131932.jpg,3.1303549325016,101.68491168343,92.64219029261696,0.0463346354166666,0.2908224826388889,0.3091229021990741,0.3047228732638888,0.6755750583795356,0.2494165702160493,0.1738454707553871,0.6298813497809144
Jalan Scott,Jalan Scott,351811673140963.jpg,3.1363572834757,101.69117181444,1054.9389600371073,0.2165229552469136,0.0743289448302469,0.3661348620756172,0.139285831404321,0.7842732779070897,0.2638258584104938,0.1692560497975603,0.5747882469104282
Jalan Scott,Jalan Scott,252710486375809.jpg,3.1358561002983,101.69161533323,1055.0563246798686,0.0842271291473765,0.290479118441358,0.1838872010030864,0.315747257185571,0.6084034325186264,0.2324199731143904,0.1723764070460038,0.5195196620097272
Jalan Scott,Jalan Scott,997734771055743.jpg,3.1355384267985,101.69189369274,1057.5855680355196,0.0805219184027777,0.2689140263310185,0.2079815297067901,0.2930706018518518,0.6912822676841308,0.2330049039110725,0.1755407705393866,0.49508186421519
Jalan Sultan Abdul Samad,Jalan Sultan Abdul Samad,971316457790898.jpg,3.1426488215249,101.69674747011,1985.6358761048914,0.0172591974705825,0.5050291210535622,0.1556166974605356,0.510206880294737,0.5170171198079816,0.3031562491208928,0.223325410064457,0.7963865495328244
Jalan Sultan Abdul Samad,Jalan Sultan Abdul Samad,3126687594230580.jpg,3.1312372530685,101.68873031582,518.1741208007076,0.2910234616126543,0.1711938175154321,0.4625717351466049,0.2585008559992284,0.6131495564054141,0.3402692961516204,0.2106868383605034,0.7741491424240928
Jalan Sultan Abdul Samad,Jalan Sultan Abdul Samad,1346451466380145.jpg,3.1426212641338,101.69700486157,2003.539318517966,0.0039673479496206,0.3953883167156957,0.2261479067704314,0.3965785211005819,0.6086187723093395,0.268492547180427,0.1894481353742349,0.6778087353397723
Jalan Thambipillay,Jalan Thambipillay,502663897812683.jpg,3.1302768012304,101.68755394016,365.84633585852845,0.3454957561728395,0.0929594666280864,0.3594127363040124,0.1966081934799382,0.6537881362102518,0.3389097885320216,0.2046863519419544,0.7354856252892567
Jalan Thambipillay,Jalan Thambipillay,136624178460844.jpg,3.1332938752346,101.68932189284,680.1438287686166,0.1321207079475308,0.208423755787037,0.3389561029128086,0.2480599681712962,0.7590635499552955,0.2999530285493827,0.192876570735964,0.6448197009541307
Jalan Thambipillay,Jalan Thambipillay,515165086419309.jpg,3.1315425840987,101.68741753083,397.4356960845392,0.0694172574266975,0.295870647665895,0.200644199701003,0.3166958248939043,0.6412488356036389,0.2513422007619599,0.1768874606125365,0.5396800710675334
Jalan Travers / Jalan Rakyat,Jalan Travers / Jalan Rakyat,515601912931620.jpg,3.1309080099735,101.68166448099,318.5549960185092,0.3812937644675926,0.1305088975694444,0.2919452281057099,0.2448970269097222,0.6710589176279569,0.4009257209683642,0.2634212023722028,0.8804877989341044
Jalan Travers / Jalan Rakyat,Jalan Travers / Jalan Rakyat,294329798995069.jpg,3.1315337020126,101.68214202447,308.44265284953775,0.3216622058256173,0.2418958574459876,0.2636150294174382,0.3383945191936728,0.599873550639006,0.3730557364004629,0.2457358695943076,0.8579596493242088
Jalan Travers / Jalan Rakyat,Jalan Travers / Jalan Rakyat,280166857082107.jpg,3.1301301162345,101.68443059883,40.78918727705676,0.2698785927854938,0.234064308449074,0.3799101803626543,0.3150278862847222,0.6978459617162426,0.351919620466821,0.2421829569021123,0.851537251035249
Jalan Tun Sambanthan,Jalan Tun Sambanthan,604099424326034.jpg,3.1267302583999,101.68306998274,364.73534924676,0.4050778838734568,0.1421391541280864,0.2500088011188272,0.2636625192901234,0.6512936057905298,0.3773120478877315,0.2479171514009868,0.8655195336499671
Jalan Tun Sambanthan,Jalan Tun Sambanthan,151542006865290.jpg,3.1301370146742,101.6845035267,44.9600463852523,0.2414384403935185,0.2671037085262345,0.3956567684220679,0.3395352406442901,0.690142009388773,0.3494154248649691,0.2431067448400289,0.849958395896819
Jalan Tun Sambanthan,Jalan Tun Sambanthan,3974445499336626.jpg,3.1249432721566,101.68216979218,585.8981466394737,0.4732090326003086,0.0682690731095679,0.4855985363618827,0.2102317828896604,0.5876760730503569,0.3826904296875,0.2338264447152696,0.8484452966306997
